Ngay,Luot_truy_cap_san_pham,Luot_xem_trang_san_pham,San_pham_duoc_truy_cap,So_luong_khach_thoat_trang_san_pham,Ty_le_thoat_Trang_san_pham,Luot_click_tu_Trang_tim_kiem,Luot_thich,Luot_truy_cap_san_pham_Them_vao_gio_hang,San_pham_Them_vao_gio_hang,Ty_le_chuyen_doi_theo_luot_them_vao_gio_hang,Nguoi_mua_da_dat_hàng,San_pham_Don_da_dat,So_san_pham_da_ban,Doanh_so_Don_da_dat,Ty_le_chuyen_doi_Don_da_dat,Nguoi_mua_co_don_da_xac_nhan,San_pham_Don_da_xac_nhan,San_pham_duoc_duyet,Doanh_so_Don_da_xac_nhan,Ty_le_chuyen_doi_Don_da_xac_nhan,Ty_le_chuyen_doi_tu_Don_da_dat_thanh_Don_da_xac_nhan
01/12/2022,2437,9976,475,808,0.3316,1094,10,482,1011,0.1978,86,263,50,8183913,0.0353,82,241,49,6608098,0.0336,0.9535
02/12/2022,2207,9368,468,728,0.3299,945,13,421,1093,0.1908,83,240,59,9918965,0.0376,76,211,56,7491476,0.0344,0.9157
03/12/2022,2197,9494,473,749,0.3409,965,14,387,846,0.1761,63,179,56,10005729,0.0287,56,147,47,6352332,0.0255,0.8889
04/12/2022,2361,9339,467,674,0.2855,1142,13,518,1164,0.2194,80,186,44,6842332,0.0339,72,159,44,4928563,0.0305,0.9
05/12/2022,2325,9380,468,733,0.3153,1097,5,457,879,0.1966,91,222,67,11264547,0.0391,84,188,64,8835187,0.0361,0.9231
06/12/2022,2609,10582,475,865,0.3315,1137,7,488,1005,0.187,88,217,65,16943365,0.0337,77,164,59,10823862,0.0295,0.875
07/12/2022,2523,9905,470,765,0.3032,1139,16,543,1173,0.2152,116,222,59,13405262,0.046,99,171,57,11323314,0.0392,0.8534
08/12/2022,2444,9523,466,786,0.3216,1133,17,504,1030,0.2062,93,182,62,10893767,0.0381,81,158,55,8960285,0.0331,0.871
09/12/2022,2299,9713,465,755,0.3284,1068,9,438,867,0.1905,100,257,56,11223905,0.0435,92,251,52,10310382,0.04,0.92
10/12/2022,2331,9661,469,806,0.3458,956,12,452,954,0.1939,81,303,66,13665547,0.0347,74,263,65,12543883,0.0317,0.9136
11/12/2022,2731,11924,475,910,0.3332,1191,12,607,1299,0.2223,91,189,60,13570475,0.0333,82,173,58,11827870,0.03,0.9011
12/12/2022,3918,15849,479,1104,0.2818,1684,26,1026,2304,0.2619,284,628,113,25621637,0.0725,257,552,96,20200065,0.0656,0.9049
13/12/2022,3065,12406,472,1050,0.3426,1181,29,579,1224,0.1889,116,281,68,13117648,0.0378,109,231,68,10293800,0.0356,0.9397
14/12/2022,2877,12154,465,882,0.3066,1191,12,587,1939,0.204,119,339,61,9925008,0.0414,106,338,58,9398964,0.0368,0.8908
15/12/2022,2914,12493,475,861,0.2955,1170,18,660,1492,0.2265,161,299,68,13267439,0.0553,130,246,59,9574282,0.0446,0.8075
16/12/2022,2794,11907,472,909,0.3253,1159,20,545,1074,0.1951,99,311,65,10537551,0.0354,89,278,58,7734504,0.0319,0.899
17/12/2022,2750,12319,472,913,0.332,1080,13,531,1104,0.1931,73,156,49,8922222,0.0265,70,146,49,7726562,0.0255,0.9589
18/12/2022,2727,11742,473,880,0.3227,1100,17,526,11558,0.1929,99,200,53,10961755,0.0363,92,181,50,9716762,0.0337,0.9293
19/12/2022,2717,11973,468,867,0.3191,1180,11,581,1389,0.2138,100,183,50,11860778,0.0368,90,163,47,9847326,0.0331,0.9
20/12/2022,2631,11974,473,880,0.3345,1139,12,544,1296,0.2068,93,170,43,12792861,0.0353,83,144,40,10991041,0.0315,0.8925
21/12/2022,2621,11705,470,818,0.3121,1046,16,509,1354,0.1942,108,216,65,10556782,0.0412,85,153,54,7478466,0.0324,0.787
22/12/2022,2551,10972,471,818,0.3207,1126,13,512,1352,0.2007,120,283,64,15433036,0.047,103,228,59,11390828,0.0404,0.8583
23/12/2022,2149,8694,467,684,0.3183,1010,9,431,802,0.2006,78,126,42,8983997,0.0363,75,120,45,7707497,0.0349,0.9615
24/12/2022,1927,9239,468,655,0.3399,886,3,383,1404,0.1988,70,158,40,7233733,0.0363,60,134,35,5201937,0.0311,0.8571
25/12/2022,2569,10622,476,762,0.2966,1165,19,547,1156,0.2129,130,270,72,15487688,0.0506,119,256,73,13561376,0.0463,0.9154
26/12/2022,2622,10457,473,820,0.3127,1210,16,537,1153,0.2048,117,253,74,13865715,0.0446,105,223,64,11189118,0.04,0.8974
