San_pham,Ma_san_pham,Ten_Phan_Loai,Ma_phan_loai_hang,SKU_phan_loai,SKU_san_pham,Luot_truy_cap_san_pham,Luot_xem_trang_san_pham,So_luong_khach_thoat_trang_san_pham,Ty_le_thoat_Trang_san_pham,Luot_click_tu_Trang_tim_kiem,Luot_thich,Luot_truy_cap_san_pham_Them_vao_gio_hang,San_pham_Them_vao_gio_hang,Ty_le_chuyen_doi_theo_luot_them_vao_gio_hang,Nguoi_mua_da_dat_hang,San_pham_Don_da_dat,Doanh_so_Don_da_dat,Ty_le_chuyen_doi_Don_da_dat,Nguoi_mua_co_don_da_xac_nhan,San_pham_Don_da_xac_nhan,Doanh_so_Don_da_xac_nhan,Ty_le_chuyen_doi_Don_da_xac_nhan,Ty_le_chuyen_doi_Tu_Don_da_dat_thanh_Don_da_xac_nhan
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,,NULL,NULL,5718482865,12112,30439,3051,0.2519,8133,82,4317,7571,0.3564,1256,1559,46149321,0.1037,1142,1297,37567169,0.0943,0.9092
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Đen,Loại Rẻ",81783073701,14051719436,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,3064,5279,NULL,915,1120,32332983,NULL,823,919,25997917,NULL,0.9
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Đen,Cao Cấp (Đẹp Hơn)",98552233617,NULL,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,493,694,NULL,116,134,5064114,NULL,109,119,4390215,NULL,0.94
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Trắng,Loại Rẻ",81783073700,14051719435,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,373,592,NULL,98,121,3380405,NULL,88,99,2605315,NULL,0.9
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Xanh,Loại Rẻ",81783073703,14051719438,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,293,471,NULL,85,105,2907760,NULL,81,95,2626561,NULL,0.95
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Đỏ,Loại Rẻ",81783073702,14051719437,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,198,351,NULL,46,54,1464783,NULL,37,43,1082085,NULL,0.8
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Trắng,Cao Cấp (Đẹp Hơn)",98552233616,NULL,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,74,92,NULL,10,11,378778,NULL,8,9,302278,NULL,0.8
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Xanh,Cao Cấp (Đẹp Hơn)",98552233619,NULL,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,39,52,NULL,8,8,343500,NULL,7,7,285800,NULL,0.88
"Gương Xe Máy Thời Trang, Gương Chiếu Hậu 4 Cạnh [HÀNG CAO CẤP] Gương Vuông - Kiếng Chiếu Hậu Cho Tất Cả Các Dòng Xe Máy",11701606495,"Đỏ,Cao Cấp (Đẹp Hơn)",98552233618,NULL,5718482865,NULL,NULL,NULL,NULL,NULL,NULL,26,40,NULL,6,6,276999,NULL,6,6,276999,NULL,1
Chốt Bấm Dàn Nhựa Gắn Tất Cả Các Dòng Xe  [ HÀNG CAO CẤP ]- Ốc Bấm Dàn Áo Xe Máy Cho Các Dòng Xe Đời Mới,15215725679,,NULL,NULL,NULL,637,1410,175,0.2747,137,4,184,2225,0.2889,51,1131,1649585,0.0801,49,1088,1590245,0.0769,0.9608
