Ngay,Luot_xem,So_luot_xem_trung_binh,Thoi_gian_xem_trung_binh,Ti_le_thoat_trang,Luot_truy_cap,So_khach_truy_cap_moi,So_khach_truy_cap_hien_tai
01/12/2022,4150,13.26,00:00:58,0.8722,313,259,54
02/12/2022,3983,13.06,00:01:03,0.8623,305,241,64
03/12/2022,4267,13.33,00:01:02,0.8875,320,242,78
04/12/2022,3230,12.67,00:01:03,0.8902,255,205,50
05/12/2022,3770,11.97,00:01:15,0.8825,315,240,75
06/12/2022,4460,12.35,00:01:13,0.8753,361,288,73
07/12/2022,3519,11.35,00:00:49,0.8839,310,236,74
08/12/2022,3592,11.09,00:01:00,0.8735,324,244,80
09/12/2022,4530,13.52,00:01:18,0.8716,335,275,60
10/12/2022,4168,12.67,00:01:24,0.8906,329,261,68
11/12/2022,5388,15.39,00:01:40,0.8829,350,301,49
12/12/2022,5421,13.16,00:01:33,0.8762,412,329,83
13/12/2022,5235,13.02,00:01:44,0.893,402,312,90
14/12/2022,5274,12.15,00:01:42,0.8963,434,322,112
15/12/2022,5599,15.86,00:01:45,0.8924,353,321,32
16/12/2022,5485,13.09,00:01:26,0.8902,419,341,78
17/12/2022,5561,13.8,00:01:09,0.9355,403,315,88
18/12/2022,5572,15.87,00:01:07,0.9031,351,305,46
19/12/2022,5462,14.6,00:01:03,0.9171,374,319,55
20/12/2022,5457,15.33,00:01:03,0.8989,356,318,38
21/12/2022,5081,15.73,00:01:00,0.8916,323,293,30
22/12/2022,4899,13.46,00:01:02,0.9038,364,306,58
23/12/2022,3890,12.71,00:01:23,0.8889,306,259,47
24/12/2022,4496,16.11,00:00:49,0.914,279,252,27
25/12/2022,4344,12.31,00:00:48,0.9037,353,275,78
26/12/2022,4142,13.99,00:00:54,0.8615,296,275,21
27/12/2022,3244,14.55,00:00:51,0.9013,223,211,12
28/12/2022,2862,12.03,00:00:47,0.916,238,210,28
29/12/2022,2823,12.27,00:00:50,0.8696,230,206,24
30/12/2022,2751,12.07,00:00:41,0.9298,228,183,45
31/12/2022,3767,15.13,00:01:34,0.8876,249,219,30
01/1/2023,4680,15.39,00:01:57,0.9243,304,222,82
02/1/2023,3535,15.11,00:01:59,0.8761,234,196,38
03/1/2023,1943,10.73,00:01:55,0.8232,181,151,30
04/1/2023,1998,10.41,00:01:40,0.849,192,135,57
05/1/2023,2244,11.81,00:01:39,0.8737,190,165,25
06/1/2023,1780,11.27,00:01:27,0.8418,158,131,27
07/1/2023,952,8.35,00:01:06,0.7281,114,92,22
08/1/2023,1161,8.66,00:01:13,0.7836,134,108,26
09/1/2023,1242,8.75,00:01:02,0.8521,142,112,30
10/1/2023,1235,8.88,00:01:00,0.7842,139,112,27
11/1/2023,747,6.38,00:00:57,0.8205,117,101,16
12/1/2023,1087,7.01,00:01:18,0.8323,155,133,22
13/1/2023,1028,10.08,00:01:22,0.8333,102,84,18
14/1/2023,896,14.69,00:01:02,0.9016,61,48,13
15/1/2023,915,16.64,00:01:02,0.9273,55,45,10
16/1/2023,1047,18.7,00:01:16,0.9821,56,48,8
17/1/2023,1073,17.03,00:00:51,0.9683,63,50,13
18/1/2023,1000,16.67,00:01:00,0.9833,60,50,10
19/1/2023,818,17.4,00:01:03,0.9787,47,37,10
20/1/2023,786,17.86,00:01:42,0.9773,44,36,8
21/1/2023,761,18.12,00:01:51,1,42,35,7
22/1/2023,622,18.85,00:01:19,1,33,25,8
23/1/2023,544,17.55,00:00:33,1,31,25,6
24/1/2023,610,18.48,00:01:57,0.9697,33,26,7
25/1/2023,571,17.84,00:01:11,0.9688,32,25,7
26/1/2023,604,17.76,00:01:03,1,34,28,6
27/1/2023,624,18.35,00:00:59,0.9412,34,28,6
28/1/2023,486,16.76,00:01:12,0.931,29,24,5
29/1/2023,209,11.61,00:00:33,0.8889,18,17,1
30/1/2023,463,4.33,00:01:29,0.7757,107,89,18
31/1/2023,289,3.44,00:01:00,0.6905,84,78,6
01/2/2023,407,5.5,00:00:59,0.7027,74,74,0
02/2/2023,228,2.78,00:01:19,0.6585,82,68,14
03/2/2023,166,1.8,00:00:56,0.6848,92,79,13
04/2/2023,152,2.05,00:00:42,0.7568,74,56,18
05/2/2023,156,1.97,00:01:02,0.7342,79,67,12
06/2/2023,193,1.86,00:00:45,0.75,104,94,10
07/2/2023,145,1.69,00:00:52,0.7442,86,74,12
08/2/2023,185,2.15,00:00:59,0.6977,86,78,8
09/2/2023,164,2.1,00:00:48,0.7308,78,78,0
10/2/2023,200,1.79,00:01:07,0.7321,112,94,18
