Ngay,Luot_xem,So_luot_xem_trung_binh,Thoi_gian_xem_trung_binh,Ti_le_thoat_trang,Luot_truy_cap,So_khach_truy_cap_moi,So_khach_truy_cap_hien_tai
01/12/2022,7146,3.16,00:01:06,0.2679,2262,1290,972
02/12/2022,6667,3.3,00:01:08,0.2563,2021,1186,835
03/12/2022,6591,3.32,00:01:06,0.2555,1988,1160,828
04/12/2022,7492,3.34,00:01:07,0.234,2244,1402,842
05/12/2022,6988,3.24,00:01:08,0.2469,2155,1334,821
06/12/2022,7626,3.21,00:01:05,0.2532,2378,1529,849
07/12/2022,7836,3.34,00:01:09,0.239,2343,1514,829
08/12/2022,7282,3.21,00:01:07,0.2481,2269,1472,797
09/12/2022,6393,3.04,00:01:06,0.2507,2102,1385,717
10/12/2022,6900,3.26,00:01:08,0.2734,2114,1410,704
11/12/2022,7984,3.18,00:01:08,0.2579,2513,1659,854
12/12/2022,12741,3.38,00:01:10,0.2321,3775,2547,1228
13/12/2022,8873,3.15,00:01:08,0.272,2820,1986,834
14/12/2022,8528,3.23,00:01:10,0.2394,2644,1888,756
15/12/2022,8368,3.12,00:01:08,0.218,2679,1927,752
16/12/2022,8125,3.16,00:01:06,0.2461,2572,1833,739
17/12/2022,8493,3.31,00:01:07,0.2589,2565,1807,758
18/12/2022,7733,3.07,00:01:05,0.246,2516,1893,623
19/12/2022,8184,3.25,00:01:08,0.2427,2518,1819,699
20/12/2022,8266,3.43,00:01:10,0.2527,2410,1746,664
21/12/2022,8475,3.4,00:01:06,0.2538,2494,1766,728
22/12/2022,7364,3.19,00:01:07,0.2392,2308,1608,700
23/12/2022,5439,2.93,00:01:03,0.2256,1857,1352,505
24/12/2022,5803,3.51,00:01:10,0.2429,1655,1183,472
25/12/2022,7292,3.19,00:01:07,0.2179,2285,1589,696
26/12/2022,7302,3.12,00:01:05,0.2429,2343,1677,666
27/12/2022,6158,3.04,00:01:01,0.2255,2027,1508,519
28/12/2022,6066,3.04,00:01:04,0.2436,1995,1418,577
29/12/2022,5104,2.77,00:00:58,0.252,1841,1353,488
30/12/2022,5055,2.79,00:01:01,0.2394,1813,1320,493
31/12/2022,5287,2.82,00:01:04,0.2648,1877,1410,467
01/1/2023,6423,3.18,00:01:11,0.2262,2020,1080,940
02/1/2023,6179,2.82,00:01:02,0.2439,2189,1289,900
03/1/2023,6292,3.05,00:01:04,0.2041,2063,1229,834
04/1/2023,5861,2.86,00:01:02,0.2424,2046,1216,830
05/1/2023,7028,3.19,00:01:07,0.2093,2203,1314,889
06/1/2023,5696,3.04,00:01:05,0.23,1874,1143,731
07/1/2023,5859,2.9,00:01:03,0.2458,2022,1217,805
08/1/2023,7113,3.32,00:01:05,0.2147,2143,1377,766
09/1/2023,5926,3.06,00:01:03,0.2297,1937,1277,660
10/1/2023,7228,3.38,00:01:10,0.2374,2140,1329,811
11/1/2023,6137,2.88,00:01:06,0.2514,2132,1420,712
12/1/2023,6064,3.14,00:01:05,0.2205,1932,1248,684
13/1/2023,3299,2.96,00:01:04,0.2159,1116,756,360
14/1/2023,422,2.13,00:01:04,0.2071,198,114,84
15/1/2023,298,2.21,00:00:44,0.2815,135,80,55
16/1/2023,357,2.1,00:00:47,0.1882,170,108,62
